index,precision,recall
141,0.9884959869140132,0.9933039150451107
142,0.988496605007169,0.9933039150451107
143,0.9884972231010977,0.9933039150451107
144,0.9886121592871875,0.9933001450807935
145,0.9886127775279803,0.9933001450807935
146,0.9886140140118856,0.9933001450807935
147,0.9887641784696791,0.9932919768247727
148,0.9888859210197904,0.9932825519139795
149,0.9890045745974705,0.9932706136936413
150,0.9890051933475601,0.9932706136936413
151,0.9891319582623147,0.9932618171102344
152,0.9891325771772858,0.9932618171102344
153,0.9891331960930314,0.9932618171102344
154,0.9892550770855915,0.9932561621637584
155,0.9892556961581713,0.9932561621637584
156,0.9893645651569811,0.9932467372529652
157,0.989364558500561,0.9932461089255791
158,0.9894722280643772,0.9932379406695583
159,0.9894728474201341,0.9932379406695583
160,0.9894734667766663,0.9932379406695583
